Run time (s),Round,Exception,deadline,Agreement,Discounted,#agreeing,min.util.,max.util.,Dist. to Pareto,Dist. to Nash,Social Welfare,Agent 1,Agent 2,Utility 1,Utility 2,Disc. Util. 1,Disc. Util. 2,Perceived. Util. 1,Perceived. Util. 2,Profile 1,Profile 2,Domain,Utility product
1.85,952,,1000rounds,No,No,0,0.3,0.3,1.09666,1.16932,0.0,TheNewDeal,AuthenticAgent,0.3,0.3,0.3,0.3,0.0,0.0,England_rv03_comp20.xml,Zimbabwe_rv03_comp200.xml,England vs Zimbabwe,0.09
2.706,952,,1000rounds,No,No,0,0.3,0.3,1.09666,1.16932,0.0,AuthenticAgent,TheNewDeal,0.3,0.3,0.3,0.3,0.0,0.0,England_rv03_comp20.xml,Zimbabwe_rv03_comp200.xml,England vs Zimbabwe,0.09
2.063,952,,1000rounds,No,No,0,0.3,0.3,1.09666,1.16932,0.0,TheNewDeal,AuthenticAgent,0.3,0.3,0.3,0.3,0.0,0.0,England_rv03_comp20.xml,Zimbabwe_rv03_comp200.xml,England vs Zimbabwe,0.09
0.018,3,,1000rounds,Yes,No,2,0.21206,1.0,0.0,0.5368,1.21206,AgentLarry,KakeSoba,0.212060628840022,1.0,0.212060628840022,1.0,0.0,1.0,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.212060628840022
0.01,2,,1000rounds,Yes,No,2,0.16358,1.0,0.0,0.64756,1.16358,KakeSoba,AgentLarry,1.0,0.163577281235707,1.0,0.163577281235707,1.0,0.0,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.163577281235707
0.04,5,,1000rounds,Yes,No,2,0.25604,0.90437,0.0,0.45339,1.1604,AgentLarry,KakeSoba,0.256037221865097,0.904366242148259,0.256037221865097,0.904366242148259,0.0,0.910163333097077,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.2315514201882178
0.004,2,,1000rounds,Yes,No,2,0.16358,1.0,0.0,0.64756,1.16358,KakeSoba,AgentLarry,1.0,0.163577281235707,1.0,0.163577281235707,0.999999999999999,0.0,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.163577281235707
0.004,3,,1000rounds,Yes,No,2,0.21206,1.0,0.0,0.5368,1.21206,AgentLarry,KakeSoba,0.212060628840022,1.0,0.212060628840022,1.0,0.0,1.0,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.212060628840022
0.003,2,,1000rounds,Yes,No,2,0.16358,1.0,0.0,0.64756,1.16358,KakeSoba,AgentLarry,1.0,0.163577281235707,1.0,0.163577281235707,1.0,0.0,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.163577281235707
0.013,3,,1000rounds,Yes,No,2,0.21206,1.0,0.0,0.5368,1.21206,AgentLarry,KakeSoba,0.212060628840022,1.0,0.212060628840022,1.0,0.0,1.0,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.212060628840022
0.003,2,,1000rounds,Yes,No,2,0.16358,1.0,0.0,0.64756,1.16358,KakeSoba,AgentLarry,1.0,0.163577281235707,1.0,0.163577281235707,1.0,0.0,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.163577281235707
0.004,3,,1000rounds,Yes,No,2,0.21206,1.0,0.0,0.5368,1.21206,AgentLarry,KakeSoba,0.212060628840022,1.0,0.212060628840022,1.0,0.0,1.0,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.212060628840022
0.012,3,,1000rounds,Yes,No,2,0.24985,0.88835,0.05928,0.51914,1.1382,KakeSoba,AgentLarry,0.888347835665205,0.249848936150313,0.888347835665205,0.249848936150313,0.888613209989618,0.0,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.22195276167238456
2.142,970,,1000rounds,Yes,No,2,0.81509,1.0,0.0,0.1949,1.81509,HardDealer,SAGA,1.0,0.815089962283641,1.0,0.815089962283641,1.0,0.82149597676161,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.815089962283641
2.726,999,,1000rounds,Yes,No,2,0.87382,0.87389,0.0,0.07109,1.74771,SAGA,HardDealer,0.873894075904236,0.873817234619164,0.873894075904236,0.873817234619164,0.867767886809695,0.935066309676314,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.7636237047567093
3.212,941,,1000rounds,Yes,No,2,0.81509,1.0,0.0,0.1949,1.81509,HardDealer,SAGA,1.0,0.815089962283641,1.0,0.815089962283641,1.0,0.82728501617038,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.815089962283641
2.611,998,,1000rounds,Yes,No,2,0.87382,0.87389,0.0,0.07109,1.74771,SAGA,HardDealer,0.873894075904236,0.873817234619164,0.873894075904236,0.873817234619164,0.868953701210326,0.935066309676314,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.7636237047567093
3.205,956,,1000rounds,Yes,No,2,0.81509,1.0,0.0,0.1949,1.81509,HardDealer,SAGA,1.0,0.815089962283641,1.0,0.815089962283641,1.0,0.823505821015365,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.815089962283641
3.281,999,,1000rounds,Yes,No,2,0.87382,0.87389,0.0,0.07109,1.74771,SAGA,HardDealer,0.873894075904236,0.873817234619164,0.873894075904236,0.873817234619164,0.872311359729358,0.935066309676314,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.7636237047567093
2.923,950,,1000rounds,Yes,No,2,0.81509,1.0,0.0,0.1949,1.81509,HardDealer,SAGA,1.0,0.815089962283641,1.0,0.815089962283641,1.0,0.814049877252863,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.815089962283641
3.382,999,,1000rounds,Yes,No,2,0.87382,0.87389,0.0,0.07109,1.74771,SAGA,HardDealer,0.873894075904236,0.873817234619164,0.873894075904236,0.873817234619164,0.860870531958906,0.935066309676314,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.7636237047567093
